train_no,origin,destination,departure_date,departure_time,seat_class,count_of_nett_sales
G1223,Halim,Tegalluar,01/01/2025,9:40:00 AM,First Class,1.0
G1245,Halim,Tegalluar,01/01/2025,5:28:00 PM,First Class,3.0
G1258,Tegalluar,Karawang,01/01/2025,8:05:00 PM,Premium Economy Class,32.0
G1259,Halim,Tegalluar,01/01/2025,8:30:00 PM,Premium Economy Class,56.0
G1274,Padalarang,Halim,01/01/2025,1:48:00 PM,Business Class,12.0
G1210,Padalarang,Halim,01/01/2025,6:58:00 AM,Business Class,6.0
G1276,Padalarang,Halim,01/01/2025,2:48:00 PM,Premium Economy Class,315.0
G1225,Halim,Padalarang,01/01/2025,10:20:00 AM,Premium Economy Class,373.0
G1238,Padalarang,Halim,01/01/2025,3:53:00 PM,Premium Economy Class,296.0
G1228,Tegalluar,Halim,01/01/2025,10:55:00 AM,Premium Economy Class,69.0
G1211,Halim,Karawang,01/01/2025,6:58:00 AM,Premium Economy Class,4.0
G1242,Tegalluar,Padalarang,01/01/2025,4:45:00 PM,Premium Economy Class,2.0
G1221,Halim,Padalarang,01/01/2025,9:03:00 AM,Premium Economy Class,114.0
G1237,Halim,Padalarang,01/01/2025,3:35:00 PM,First Class,6.0
G1230,Tegalluar,Padalarang,01/01/2025,12:00:00 PM,Premium Economy Class,9.0
G1224,Tegalluar,Padalarang,01/01/2025,9:47:00 AM,Premium Economy Class,6.0
G1275,Halim,Tegalluar,01/01/2025,2:32:00 PM,Premium Economy Class,67.0
G1216,Padalarang,Halim,01/01/2025,8:13:00 AM,Business Class,2.0
G1239,Halim,Padalarang,01/01/2025,4:03:00 PM,Business Class,20.0
G1216,Tegalluar,Halim,01/01/2025,7:55:00 AM,Premium Economy Class,98.0
G1240,Padalarang,Halim,01/01/2025,4:28:00 PM,First Class,16.0
G1275,Halim,Padalarang,01/01/2025,2:32:00 PM,First Class,0.0
G1225,Halim,Tegalluar,01/01/2025,10:20:00 AM,Premium Economy Class,140.0
G1217,Karawang,Padalarang,01/01/2025,8:30:00 AM,Premium Economy Class,15.0
G1214,Tegalluar,Padalarang,01/01/2025,7:30:00 AM,Premium Economy Class,1.0
G1260,Tegalluar,Halim,01/01/2025,8:30:00 PM,First Class,5.0
G1254,Tegalluar,Halim,01/01/2025,7:15:00 PM,Premium Economy Class,72.0
G1242,Tegalluar,Halim,01/01/2025,4:45:00 PM,Business Class,4.0
G1246,Tegalluar,Halim,01/01/2025,5:35:00 PM,First Class,1.0
G1251,Padalarang,Tegalluar,01/01/2025,7:23:00 PM,Premium Economy Class,5.0
G1242,Padalarang,Halim,01/01/2025,5:03:00 PM,Business Class,19.0
G1214,Tegalluar,Halim,01/01/2025,7:30:00 AM,Business Class,0.0
G1236,Padalarang,Halim,01/01/2025,3:18:00 PM,First Class,4.0
G1224,Padalarang,Halim,01/01/2025,10:05:00 AM,Business Class,3.0
G1222,Tegalluar,Karawang,01/01/2025,9:10:00 AM,Premium Economy Class,3.0
G1274,Tegalluar,Halim,01/01/2025,1:30:00 PM,Business Class,11.0
G1227,Halim,Tegalluar,01/01/2025,10:55:00 AM,First Class,2.0
G1240,Karawang,Halim,01/01/2025,4:49:00 PM,Premium Economy Class,7.0
G1238,Karawang,Halim,01/01/2025,4:14:00 PM,Premium Economy Class,5.0
G1229,Halim,Tegalluar,01/01/2025,12:00:00 PM,First Class,16.0
G1248,Padalarang,Halim,01/01/2025,6:18:00 PM,Business Class,11.0
G1246,Padalarang,Halim,01/01/2025,5:53:00 PM,Premium Economy Class,372.0
G1251,Halim,Padalarang,01/01/2025,6:43:00 PM,Business Class,7.0
G1245,Halim,Tegalluar,01/01/2025,5:28:00 PM,Premium Economy Class,48.0
G1223,Halim,Karawang,01/01/2025,9:40:00 AM,Premium Economy Class,21.0
G1210,Tegalluar,Halim,01/01/2025,6:40:00 AM,Premium Economy Class,34.0
G1236,Tegalluar,Halim,01/01/2025,3:00:00 PM,Premium Economy Class,110.0
G1274,Tegalluar,Halim,01/01/2025,1:30:00 PM,First Class,7.0
G1239,Halim,Padalarang,01/01/2025,4:03:00 PM,First Class,4.0
G1257,Karawang,Tegalluar,01/01/2025,8:15:00 PM,Premium Economy Class,12.0
G1259,Halim,Tegalluar,01/01/2025,8:30:00 PM,Business Class,4.0
G1206,Padalarang,Halim,01/01/2025,6:08:00 AM,Premium Economy Class,62.0
G1215,Halim,Tegalluar,01/01/2025,7:48:00 AM,Premium Economy Class,114.0
G1269,Halim,Tegalluar,01/01/2025,11:30:00 AM,First Class,5.0
G1210,Tegalluar,Karawang,01/01/2025,6:40:00 AM,Premium Economy Class,4.0
G1221,Halim,Karawang,01/01/2025,9:03:00 AM,Premium Economy Class,2.0
G1260,Tegalluar,Halim,01/01/2025,8:30:00 PM,Premium Economy Class,88.0
G1240,Padalarang,Halim,01/01/2025,4:28:00 PM,Premium Economy Class,278.0
G1231,Padalarang,Tegalluar,01/01/2025,1:35:00 PM,Premium Economy Class,2.0
